Date,TransactionDate,Narrative,Card Number,Debit,Credit,Type
12-05-2023,2023-05-12,Water Bill,5524856524938771,278.65,0.0,debit
15-05-2023,2023-05-15,Monthly Salary,6519524825287686,0.0,4850.28,credit
15-05-2023,2023-05-15,Insurance Premium,3132993763510450,234.32,0.0,debit
24-05-2023,2023-05-24,Electronics Purchase,6055366919797072,393.46,0.0,debit
25-05-2023,2023-05-25,Monthly Salary,5441235861610032,0.0,3326.09,credit
26-05-2023,2023-05-26,Movie,2602573957727020,99.38,0.0,debit
23-06-2023,2023-06-23,Mobile Recharge,4105741927723623,85.97,0.0,debit
30-06-2023,2023-06-30,Mobile Recharge,2095058996811526,45.69,0.0,debit
06-07-2023,2023-07-06,Clothing Purchase,8233313557002518,119.15,0.0,debit
11-07-2023,2023-07-11,Loan EMI,6674730014580061,17.61,0.0,debit
15-07-2023,2023-07-15,Water Bill,3659896381675968,217.1,0.0,debit
16-07-2023,2023-07-16,Clothing Purchase,8732803978334833,402.75,0.0,debit
20-07-2023,2023-07-20,Loan EMI,6259886855536481,420.49,0.0,debit
26-07-2023,2023-07-26,Gym Membership,9311133824199905,229.76,0.0,debit
27-07-2023,2023-07-27,Medical Expenses,3332346365005651,20.98,0.0,debit
04-08-2023,2023-08-04,Fuel,2379522459538887,342.26,0.0,debit
05-08-2023,2023-08-05,Movie,6202568741764512,218.62,0.0,debit
11-08-2023,2023-08-11,Medical Expenses,8542874149485155,368.09,0.0,debit
11-08-2023,2023-08-11,Water Bill,4161784425285363,305.39,0.0,debit
19-08-2023,2023-08-19,Insurance Premium,2180587494544295,353.21,0.0,debit
26-08-2023,2023-08-26,Grocery Shopping,6107608130355635,40.19,0.0,debit
29-08-2023,2023-08-29,Electronics Purchase,6978865364252690,260.92,0.0,debit
31-08-2023,2023-08-31,Clothing Purchase,4033536061558062,333.19,0.0,debit
06-09-2023,2023-09-06,Electricity Bill,8902140635045647,337.85,0.0,debit
07-09-2023,2023-09-07,Water Bill,3773238388159236,345.66,0.0,debit
25-09-2023,2023-09-25,Loan EMI,4666107572540081,262.66,0.0,debit
01-10-2023,2023-10-01,Dining,6139887122781078,344.68,0.0,debit
04-10-2023,2023-10-04,Travel Booking,3250954154596103,488.62,0.0,debit
05-10-2023,2023-10-05,Electronics Purchase,9712983547665754,25.56,0.0,debit
06-10-2023,2023-10-06,Clothing Purchase,9559795379784058,435.08,0.0,debit
13-10-2023,2023-10-13,Monthly Salary,2771511537660634,0.0,3554.25,credit
14-10-2023,2023-10-14,Movie,6544686663182579,364.74,0.0,debit
26-10-2023,2023-10-26,Medical Expenses,8389783961071306,197.38,0.0,debit
29-10-2023,2023-10-29,Clothing Purchase,6960970440915055,231.92,0.0,debit
03-11-2023,2023-11-03,Travel Booking,7187045167670525,102.29,0.0,debit
10-11-2023,2023-11-10,School Fees,7823856745011777,252.42,0.0,debit
11-11-2023,2023-11-11,Electricity Bill,4430000734980004,209.54,0.0,debit
18-11-2023,2023-11-18,Electricity Bill,9743083364387318,70.18,0.0,debit
18-11-2023,2023-11-18,School Fees,5392407797325898,420.67,0.0,debit
22-11-2023,2023-11-22,Fuel,7275015929657356,412.35,0.0,debit
23-11-2023,2023-11-23,Online Purchase,2278243635300710,214.39,0.0,debit
23-11-2023,2023-11-23,Fuel,6662831092897570,95.28,0.0,debit
28-11-2023,2023-11-28,Electricity Bill,9765241162181757,461.17,0.0,debit
02-12-2023,2023-12-02,Loan EMI,7676268238535267,294.39,0.0,debit
03-12-2023,2023-12-03,Electricity Bill,8091592445975198,404.09,0.0,debit
07-12-2023,2023-12-07,Monthly Salary,7459731937772194,0.0,4595.55,credit
13-12-2023,2023-12-13,Gym Membership,9187119209959353,205.35,0.0,debit
14-12-2023,2023-12-14,Medical Expenses,6187147076344140,21.3,0.0,debit
18-12-2023,2023-12-18,Gym Membership,9796382373614159,338.48,0.0,debit
20-12-2023,2023-12-20,Monthly Salary,6806623210235125,0.0,2189.93,credit
22-12-2023,2023-12-22,Electricity Bill,8869411403071091,210.67,0.0,debit
28-12-2023,2023-12-28,Movie,5391868418995331,137.41,0.0,debit
