"Date","Transaction Date","Description","Card Number","Debit","Credit"
"12-05-2023","12-05-2023","Water Bill","5524856524938771","278.65","0.00"
"15-05-2023","15-05-2023","Monthly Salary","6519524825287686","0.00","4850.28"
"15-05-2023","15-05-2023","Insurance Premium","3132993763510450","234.32","0.00"
"24-05-2023","24-05-2023","Electronics Purchase","6055366919797072","393.46","0.00"
"25-05-2023","25-05-2023","Monthly Salary","5441235861610032","0.00","3326.09"
"26-05-2023","26-05-2023","Movie","2602573957727020","99.38","0.00"
"23-06-2023","23-06-2023","Mobile Recharge","4105741927723623","85.97","0.00"
"30-06-2023","30-06-2023","Mobile Recharge","2095058996811526","45.69","0.00"
"06-07-2023","06-07-2023","Clothing Purchase","8233313557002518","119.15","0.00"
"11-07-2023","11-07-2023","Loan EMI","6674730014580061","17.61","0.00"
"15-07-2023","15-07-2023","Water Bill","3659896381675968","217.10","0.00"
"16-07-2023","16-07-2023","Clothing Purchase","8732803978334833","402.75","0.00"
"20-07-2023","20-07-2023","Loan EMI","6259886855536481","420.49","0.00"
"26-07-2023","26-07-2023","Gym Membership","9311133824199905","229.76","0.00"
"27-07-2023","27-07-2023","Medical Expenses","3332346365005651","20.98","0.00"
"04-08-2023","04-08-2023","Fuel","2379522459538887","342.26","0.00"
"05-08-2023","05-08-2023","Movie","6202568741764512","218.62","0.00"
"11-08-2023","11-08-2023","Medical Expenses","8542874149485155","368.09","0.00"
"11-08-2023","11-08-2023","Water Bill","4161784425285363","305.39","0.00"
"19-08-2023","19-08-2023","Insurance Premium","2180587494544295","353.21","0.00"
"26-08-2023","26-08-2023","Grocery Shopping","6107608130355635","40.19","0.00"
"29-08-2023","29-08-2023","Electronics Purchase","6978865364252690","260.92","0.00"
"31-08-2023","31-08-2023","Clothing Purchase","4033536061558062","333.19","0.00"
"06-09-2023","06-09-2023","Electricity Bill","8902140635045647","337.85","0.00"
"07-09-2023","07-09-2023","Water Bill","3773238388159236","345.66","0.00"
"25-09-2023","25-09-2023","Loan EMI","4666107572540081","262.66","0.00"
"01-10-2023","01-10-2023","Dining","6139887122781078","344.68","0.00"
"04-10-2023","04-10-2023","Travel Booking","3250954154596103","488.62","0.00"
"05-10-2023","05-10-2023","Electronics Purchase","9712983547665754","25.56","0.00"
"06-10-2023","06-10-2023","Clothing Purchase","9559795379784058","435.08","0.00"
"13-10-2023","13-10-2023","Monthly Salary","2771511537660634","0.00","3554.25"
