"Date","Description","Card Number","Amount","Credit"
"14-10-2023","Movie","6544686663182579","364.74","0.00"
"26-10-2023","Medical Expenses","8389783961071306","197.38","0.00"
"29-10-2023","Clothing Purchase","6960970440915055","231.92","0.00"
"03-11-2023","Travel Booking","7187045167670525","102.29","0.00"
"10-11-2023","School Fees","7823856745011777","252.42","0.00"
"11-11-2023","Electricity Bill","4430000734980004","209.54","0.00"
"18-11-2023","Electricity Bill","9743083364387318","70.18","0.00"
"18-11-2023","School Fees","5392407797325898","420.67","0.00"
"22-11-2023","Fuel","7275015929657356","412.35","0.00"
"23-11-2023","Online Purchase","2278243635300710","214.39","0.00"
"23-11-2023","Fuel","6662831092897570","95.28","0.00"
"28-11-2023","Electricity Bill","9765241162181757","461.17","0.00"
"02-12-2023","Loan EMI","7676268238535267","294.39","0.00"
"03-12-2023","Electricity Bill","8091592445975198","404.09","0.00"
"07-12-2023","Monthly Salary","7459731937772194","0.00","4595.55"
"13-12-2023","Gym Membership","9187119209959353","205.35","0.00"
"14-12-2023","Medical Expenses","6187147076344140","21.30","0.00"
"18-12-2023","Gym Membership","9796382373614159","338.48","0.00"
"20-12-2023","Monthly Salary","6806623210235125","0.00","2189.93"
"22-12-2023","Electricity Bill","8869411403071091","210.67","0.00"
"28-12-2023","Movie","5391868418995331","137.41","0.00"
